annotator,aae_speaker_identity,regional_background,regional_background_notes,written_aae_familiarity,acknowledgement_consent,acknowledgement_name,item_index,sample_type,aae_text,sae_text,aae_back_text,special_mark,unintelligible_original,semantic_equivalence,sentiment_preservation,semantic_change_notes,original_naturalness,back_naturalness,sentiment,surface_toxicity,completed,last_updated
annotator_1,yes,west_coast,,very_familiar,name_ok,,1,unique,"Mm. Good Night, I'll Talk to #Oomf In the afternoon or when we get together tomorrow.r#KJMOVEMENT (:","Mm. Good night, I'll talk to one of my followers in the afternoon or when we get together tomorrow. #KJMOVEMENT (:","Mm. Good night, I'ma talk to one of my followers in the afternoon or when we get together tomorrow. #KJMOVEMENT (:",,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-16T00:06:29.177Z
annotator_1,yes,west_coast,,very_familiar,name_ok,,2,unique,Can't find a job so I'm on da block I'm not going for broke for nobody,"I can't find a job, so I am on the block; I am not going to be broke for anyone.","I can't find no job, so I'm on the block; I ain't gon be broke for nobody.",,,same_meaning,yes,,natural,natural,neutral,no_potentially_toxic_wording,yes,2026-05-16T00:06:48.584Z
annotator_1,yes,west_coast,,very_familiar,name_ok,,3,unique,"nah ion remember that, you tryna play me. And besides I ain't got no money lol you needa be payin for me since it was my bday","No, I don't remember that; you're trying to play me. And besides, I don't have any money lol; you need to be paying for me since it was my birthday.","Naw, I don’t remember that; you tryna play me. And besides, I ain’t got no money lol; you need to be paying for me since it was my birthday.",,,same_meaning,yes,,natural,natural,negative,no_potentially_toxic_wording,yes,2026-05-16T00:08:08.716Z
annotator_1,yes,west_coast,,very_familiar,name_ok,,4,unique,Got My Forces . Order Three Pair Of Shoes Today ! I Need One More . . To Last Through September .,I got my Air Force 1s. I ordered three pairs of shoes today! I need one more to last through September.,I got my Forces. I done ordered three pairs of shoes today! I need one more pair to last me thru September.,,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-16T00:08:54.297Z
annotator_1,yes,west_coast,,very_familiar,name_ok,,5,unique,"Meet Me In The Stars W. A Blunt Rolled Up , None Of These Stars Got Shit On Us",Meet me in the stars with a blunt rolled up; none of these stars have anything on us.,Meet me in the stars with a blunt rolled up; none of these stars got nun on us.,,,same_meaning,yes,,natural,natural,positive,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-16T00:10:06.593Z
annotator_1,yes,west_coast,,very_familiar,name_ok,,6,unique,I'm sorry but you got my fucked up Witj yo ugly ass,"I am sorry, but you have me mistaken, you unattractive person.","I’m sorry, but you got me messed up, you ugly self.",,,same_meaning,yes,,natural,natural,negative,toxic_wording_with_toxic_meaning,yes,2026-05-16T00:10:44.398Z
annotator_1,yes,west_coast,,very_familiar,name_ok,,7,unique,you sooo right kiddo so make sure you treat your girl right bc good girls are hard to come by!,"You are so right, kiddo, so make sure you treat your girlfriend right because good girls are hard to come by!","You so right, lil bro, so make sure you treat your girl right cause good girls hard to come by!",,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-16T00:11:01.555Z
annotator_1,yes,west_coast,,very_familiar,name_ok,,8,unique,If Yu Aint To Really Settle Dwn Den Let Me Knw Ill Move On Ion Give No Fuck Im Not Fixin To Waste My Time Dealin Wit Childish Shit...,"If you aren't really ready to settle down, then let me know. I'll move on; I don't give a fuck. I'm not going to waste my time dealing with childish shit.","If you ain't really ready to settle down, then let me know. I’ma move on; I don't give a fuck. I ain't finna waste my time dealing with childish shit.",,,same_meaning,yes,,natural,natural,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-16T00:12:03.268Z
annotator_1,yes,west_coast,,very_familiar,name_ok,,9,unique,"Congratulations to Jamies Winston on winning the Heisman Trophy, can't keep that nigga down man!",Congratulations to Jameis Winston on winning the Heisman Trophy; you can't keep that man down!,Congrats to Jameis Winston on winning the Heisman; you can't keep that man down!,,,same_meaning,yes,,natural,natural,positive,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-16T00:12:36.548Z
annotator_1,yes,west_coast,,very_familiar,name_ok,,10,unique,"I love you in the game. you are so fly, and super sexy",I love you in the game. You are so stylish and super sexy.,I love you in the game. You so fly and super sexy.,,,same_meaning,yes,,unnatural_or_noisy,natural,positive,no_potentially_toxic_wording,yes,2026-05-16T00:13:03.593Z
