annotator,aae_speaker_identity,regional_background,regional_background_notes,written_aae_familiarity,acknowledgement_consent,acknowledgement_name,item_index,sample_type,aae_text,sae_text,aae_back_text,special_mark,unintelligible_original,semantic_equivalence,sentiment_preservation,semantic_change_notes,original_naturalness,back_naturalness,sentiment,surface_toxicity,completed,last_updated
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,1,unique,It's dumb that I have a car but scared to drive,It is stupid that I have a car but am scared to drive.,It's stupid I got a car but scared to drive.,,,same_meaning,yes,,unnatural_or_noisy,natural,neutral,no_potentially_toxic_wording,yes,2026-05-13T18:10:04.284Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,2,unique,"u kno that I bouta do the same Bruh, long day at work dawg b easy bro keep in touch","You know that I am about to do the same, man; it was a long day at work, friend, take it easy and keep in touch.","You know I’m finna do the same, man; it was a long day at work, fam, take it easy and keep in touch.",,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-13T18:14:58.950Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,3,unique,"o yea bruh just checking on.yall nigaz, yall still family regardless if im gone' but drop them niggaz off B'","Oh yeah, man, just checking in on you all. You are still family regardless of the fact that I’m gone, but you should distance yourselves from those other guys, man.","Oh yeah, man, just checkin in on y’all. Y’all still family even though I’m gone, but y’all should stay away from them other dudes, man.",,,same_meaning,yes,,natural,somewhat_natural,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-13T18:28:42.712Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,4,unique,My dream car setup :nLexus is300 nBluenBlack tintsn2jz twin turbo n10 pounds of boost nSlammednGold colored Ltuned rimsnIntakenExhaust,"My dream car setup:
Lexus IS300
Blue
Black tinted windows
2JZ twin-turbo engine
10 pounds of boost
Slammed (extremely lowered)
Gold-colored L-Tuned rims
Intake
Exhaust","My dream car setup:
Lexus IS300
Blue
Dark tint
2JZ twin turbo
10 lbs of boost
Slammed
Gold L-Tuned rims
Intake
Exhaust",,,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,neutral,no_potentially_toxic_wording,yes,2026-05-13T18:28:36.888Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,5,unique,Why The FUCK Am I Still Up... Got Work In Less Then 5...,Why the fuck am I still awake? I have work in less than five hours.,Why the fuck I'm still up? I got work in less than five hours.,,,same_meaning,yes,,natural,unnatural_or_imitated,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-13T18:31:15.067Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,6,unique,The difference between the impossible and the possible lies in a man's determination.,"The original tweet is already written in Standard American English (SAE). Therefore, the translation remains the same:

**Standard American English translation:** The difference between the impossible and the possible lies in a man's determination.",The difference between the impossible and the possible lie in a man determination.,,,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,positive,no_potentially_toxic_wording,yes,2026-05-13T18:37:08.581Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,7,unique,"I like Bible On Tha Dash (DatPiff Exclusive)"" on ""Acquitted"" by Gunplay.","I like ""Bible On The Dash (DatPiff Exclusive)"" on ""Acquitted"" by Gunplay.","I mess with ""Bible On The Dash (DatPiff Exclusive)"" on ""Acquitted"" by Gunplay.",,,same_meaning,yes,,unnatural_or_noisy,natural,positive,no_potentially_toxic_wording,yes,2026-05-13T18:46:32.289Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,8,unique,Retweet this if u have a girlfriend or boyfriend that's yo ride or die :),Retweet this if you have a girlfriend or boyfriend who is your ride or die :),RT if you got a girlfriend or boyfriend who yo ride or die :),,,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-13T18:48:11.917Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,9,unique,I have to get up 6:OP just because Thing 1 & Thing 2 got a football game in the morning. Shit me breh. Tomorrow is my get sleep in day,"I have to get up at 6:00 just because Thing 1 and Thing 2 have a football game in the morning. This sucks, man. Tomorrow is my day to sleep in.",I gotta get up at 6:00 just cause Thing 1 and Thing 2 got a football game in the morning. This suck man. Tomorrow my day to sleep in.,,,same_meaning,yes,,natural,natural,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-13T18:50:57.472Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,10,unique,I do knoee who I want HO ! yo daddy don't know wtf he want !,I do know who I want! Your father doesn't know what the fuck he wants!,I do know who I want! Yo daddy don't know what the fuck he want!,,,meaning_changed,yes,,natural,unnatural_or_imitated,negative,toxic_wording_with_toxic_meaning,yes,2026-05-13T18:52:58.327Z
annotator_2,yes,northeast_or_midatlantic,,very_familiar,name_ok,,11,unique,Man yo boyfriend he a lame he ain't wit the shits,"Man, your boyfriend is lame; he isn't really about that lifestyle.","Man, your boyfriend lame; he ain't really about that life.",,,same_meaning,yes,,natural,natural,negative,toxic_wording_with_toxic_meaning,yes,2026-05-13T18:56:30.067Z
