annotator,aae_speaker_identity,regional_background,regional_background_notes,written_aae_familiarity,acknowledgement_consent,acknowledgement_name,item_index,sample_type,aae_text,sae_text,aae_back_text,special_mark,semantic_equivalence,sentiment_preservation,semantic_change_notes,original_naturalness,back_naturalness,sentiment,surface_toxicity,completed,last_updated
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,1,common,"Rather Count Bands , Then Look Dumb ; & Chase Men . Fcck These Btches They Aint My Friends , Cuss All They Gone Do Is Snake Me In The End .","I would rather count money than look foolish chasing men. Fuck these women; they are not my friends, because all they are going to do is betray me in the end.","I’d rather count money than look goofy chasin niggas. Fuck these hoes; they ain't my friends, cause all they gon do is snake me in the end.",,same_meaning,yes,,natural,natural,negative,toxic_wording_with_toxic_meaning,yes,2026-04-24T15:53:03.665Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,2,common,"Where Im At , Who Im Cool With , How I Get Money , What Dude Im With & Which Friends Of Theirs Can Become Close","Where I am, who I am close with, how I earn money, what man I am with, and which of their friends can become close.","Where I’m at, who I’m close with, how I get my money, what man I’m with, and which of they friends can get close.",,same_meaning,yes,,natural,unnatural_or_imitated,positive,no_potentially_toxic_wording,yes,2026-04-24T15:56:36.711Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,3,common,Olamide we have not only reached final..buh hv also won d cup...!!!waiting for ur next release!!!..,"Olamide, we have not only reached the final, but have also won the cup! I am waiting for your next release!","Olamide, we ain't just reach the final, we done won the cup! I'm waitin' on your next release!",yes,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T15:59:56.287Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,4,common,how you gone tell me to dm you but you dont dm back -_-,"How are you going to tell me to DM you, but then you don't DM back? -_-","How you gon tell me to DM you, but then you don't DM back? -_-",yes,same_meaning,yes,,natural,natural,negative,no_potentially_toxic_wording,yes,2026-04-24T16:01:33.040Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,5,common,: Shiiiid I updated my IG and I'm waiting with that Stevie J face. #str8up lmfao,"Man, I updated my Instagram and I am waiting with that Stevie J face. Seriously, lol.","Man, I updated my Instagram and I’m waitin wit that Stevie J face. For real, lol.",,same_meaning,yes,,natural,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T16:03:48.932Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,6,common,I've been waiting on this moment since game 5 of 2011,I have been waiting for this moment since Game 5 of 2011.,I been waitin for this moment since Game 5 of 2011.,yes,same_meaning,yes,,unnatural_or_noisy,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T16:04:51.680Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,7,common,I'm starving. I wish I had another italian beefs from Albano's....s/o to my sis for finally putting me on. Lol,I'm starving. I wish I had another Italian beef sandwich from Albano's. Shout out to my sister for finally introducing me to it. Lol.,I’m starving. I wish I had another Italian beef from Albano’s. Shout out to my sister for finally putting me on. Lol.,,same_meaning,yes,,unnatural_or_noisy,unnatural_or_imitated,positive,no_potentially_toxic_wording,yes,2026-04-24T16:06:21.737Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,8,common,Time for me to move out of philly cuz yall hate me dont bout me so im leaving as soon as I get my scholarship from different college,"It's time for me to move out of Philadelphia because you all hate me and don't care about me, so I'm leaving as soon as I get a scholarship from a different college.","It’s time for me to move outta Philly cuz y’all hate me and don’t care bout me, so I’m leavin as soon as I get a scholarship from a different college.",,same_meaning,yes,,natural,natural,negative,no_potentially_toxic_wording,yes,2026-04-24T16:07:40.086Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,9,common,": Why am I awake though!??"" Lol cuz u finna come over lol","Why am I awake, though? Lol, because you are about to come over. Lol.","Why I'm up doe? Lol, cause you finna come over. Lol.",,same_meaning,yes,,natural,unnatural_or_imitated,positive,no_potentially_toxic_wording,yes,2026-04-24T16:08:54.525Z
annotator_2_common,yes,northeast_or_midatlantic,,very_familiar,name_ok,,10,common,Marley and I ditched the boys (left them with my brothers) to watch the #SUPERBOWL,Marley and I ditched the boys (left them with my brothers) to watch the #SUPERBOWL.,Me and Marley ditched the boys (left 'em with my brothers) to watch the #SUPERBOWL.,,same_meaning,yes,,unnatural_or_noisy,natural,positive,no_potentially_toxic_wording,yes,2026-04-24T16:10:00.648Z
